"date";"pronostico";"Unidades"
"403";2013-02-06;1110.806;1218
"404";2013-02-07;1174.462;1150
"405";2013-02-08;1206.967;1181
"406";2013-02-09;360.644;291
"407";2013-02-10;7.631;1
"408";2013-02-11;827.601;830
"409";2013-02-12;1024.238;916
"410";2013-02-13;1236.4;1076
"411";2013-02-14;1258.459;1110
"412";2013-02-15;1249.496;1265
"413";2013-02-16;353.646;263
"414";2013-02-17;7.48;0
"415";2013-02-18;783.488;719
"416";2013-02-19;1033.851;1036
"417";2013-02-20;1327.279;1096
"418";2013-02-21;1178.538;1064
"419";2013-02-22;1286.347;1094
"420";2013-02-23;385.22;324
"421";2013-02-24;7.148;0
"422";2013-02-25;922.397;755
"423";2013-02-26;1183.51;1119
"424";2013-02-27;1389.752;1133
"425";2013-02-28;1555.54;1311
"426";2013-03-01;946.819;963
"427";2013-03-02;260.239;264
"428";2013-03-03;6.322;0
"429";2013-03-04;746.544;677
"430";2013-03-05;942.308;930
"431";2013-03-06;1144.995;1073
"432";2013-03-07;1210.609;1136
"433";2013-03-08;1244.115;1207
"434";2013-03-09;371.744;354
"435";2013-03-10;7.865;1
"436";2013-03-11;853.073;851
"437";2013-03-12;1055.762;1065
"438";2013-03-13;1274.454;1167
"439";2013-03-14;1297.192;1223
"440";2013-03-15;1287.953;1297
"441";2013-03-16;364.53;385
"442";2013-03-17;7.711;0
"443";2013-03-18;807.602;830
"444";2013-03-19;1065.671;1249
"445";2013-03-20;1368.13;1341
"446";2013-03-21;1214.811;1459
"447";2013-03-22;1325.939;1630
"448";2013-03-23;397.077;532
"449";2013-03-24;1.696;0
"450";2013-03-25;20.482;0
"451";2013-03-26;1219.936;953
"452";2013-03-27;1432.526;1104
"453";2013-03-28;369.179;14
"454";2013-03-29;452.554;0
"455";2013-03-30;632.43;2
"456";2013-03-31;2.371;0
"457";2013-04-01;631.125;588
"458";2013-04-02;756.55;995
"459";2013-04-03;1026.263;1165
"460";2013-04-04;1092.369;1262
"461";2013-04-05;1155.337;1350
"462";2013-04-06;350.351;301
"463";2013-04-07;7.448;34
"464";2013-04-08;829.295;874
"465";2013-04-09;1080.711;1221
"466";2013-04-10;1276.768;1204
"467";2013-04-11;1248.246;1285
"468";2013-04-12;1294.44;1279
"469";2013-04-13;389.964;394
"470";2013-04-14;7.98;16
"471";2013-04-15;858.516;781
"472";2013-04-16;1059.741;1174
"473";2013-04-17;1251.625;1153
"474";2013-04-18;1181.712;1203
"475";2013-04-19;1306.589;1155
"476";2013-04-20;418.627;348
"477";2013-04-21;7.474;1
"478";2013-04-22;883.837;778
"479";2013-04-23;1154.357;1090
"480";2013-04-24;1195.981;1161
"481";2013-04-25;1391.224;1392
"482";2013-04-26;1495.73;1433
"483";2013-04-27;438.332;411
"484";2013-04-28;9.864;0
"485";2013-04-29;1310.17;1015
"486";2013-04-30;1838.562;1570
"487";2013-05-01;18.668;19
"488";2013-05-02;850.12;963
"489";2013-05-03;1051.731;1202
"490";2013-05-04;313.648;355
"491";2013-05-05;6.514;5
"492";2013-05-06;782.165;343
"493";2013-05-07;1010.515;657
"494";2013-05-08;1138.664;1241
"495";2013-05-09;1214.373;1428
"496";2013-05-10;1308.452;1626
"497";2013-05-11;358.404;271
"498";2013-05-12;7.298;1
"499";2013-05-13;18.755;0
"500";2013-05-14;1082.787;914
"501";2013-05-15;1178.786;1155
"502";2013-05-16;1190.809;1164
"503";2013-05-17;1282.686;1245
"504";2013-05-18;339.3;336
"505";2013-05-19;7.367;0
"506";2013-05-20;934.592;765
"507";2013-05-21;1014.022;1087
"508";2013-05-22;1213.552;1010
"509";2013-05-23;1297.127;1251
"510";2013-05-24;1225.661;1117
"511";2013-05-25;399.457;281
"512";2013-05-26;8.433;4
"513";2013-05-27;978.582;962
"514";2013-05-28;1338.397;1062
"515";2013-05-29;1798.929;1357
"516";2013-05-30;2065.954;1485
"517";2013-05-31;1713.013;1529
"518";2013-06-01;279.482;300
"519";2013-06-02;5.513;3
"520";2013-06-03;15.918;0
"521";2013-06-04;961.081;698
"522";2013-06-05;1114.54;1071
"523";2013-06-06;1206.325;1184
"524";2013-06-07;1305.902;1382
"525";2013-06-08;367.238;352
"526";2013-06-09;7.875;0
"527";2013-06-10;19.804;0
"528";2013-06-11;1098.224;758
"529";2013-06-12;1248.731;1102
"530";2013-06-13;1342.718;1238
"531";2013-06-14;1399.301;1211
"532";2013-06-15;380.178;408
"533";2013-06-16;7.722;1
"534";2013-06-17;901.199;933
"535";2013-06-18;1039.686;932
"536";2013-06-19;1260.451;1103
"537";2013-06-20;1441.412;1213
"538";2013-06-21;1310.435;1329
"539";2013-06-22;391.391;337
"540";2013-06-23;8.411;0
"541";2013-06-24;861.135;788
"542";2013-06-25;1224.017;1308
"543";2013-06-26;1442.913;1345
"544";2013-06-27;1509.258;1510
"545";2013-06-28;1729.629;1656
"546";2013-06-29;580.185;537
"547";2013-06-30;13.397;20
"548";2013-07-01;13.922;0
"549";2013-07-02;774.682;689
"550";2013-07-03;1050.86;1045
"551";2013-07-04;1118.55;1101
"552";2013-07-05;1183.028;1185
"553";2013-07-06;358.749;464
"554";2013-07-07;7.626;0
"555";2013-07-08;849.171;871
"556";2013-07-09;1106.613;1231
"557";2013-07-10;1307.368;1270
"558";2013-07-11;1278.163;1315
"559";2013-07-12;1325.465;1249
"560";2013-07-13;399.31;358
"561";2013-07-14;8.172;0
"562";2013-07-15;879.093;629
"563";2013-07-16;1085.14;1029
"564";2013-07-17;1281.623;1147
"565";2013-07-18;1210.035;1288
"566";2013-07-19;1337.905;1175
"567";2013-07-20;9.234;111
"568";2013-07-21;7.653;0
"569";2013-07-22;905.02;889
"570";2013-07-23;1182.024;933
"571";2013-07-24;1224.646;1348
"572";2013-07-25;1424.568;1224
"573";2013-07-26;1531.579;1268
"574";2013-07-27;448.838;463
"575";2013-07-28;10.101;0
"576";2013-07-29;1341.572;985
"577";2013-07-30;1882.627;1272
"578";2013-07-31;1711.594;1666
"579";2013-08-01;950.58;1173
"580";2013-08-02;954.8;1155
"581";2013-08-03;323.235;332
"582";2013-08-04;6.917;0
"583";2013-08-05;792.714;737
"584";2013-08-06;1048.404;1170
